id,codigo,nome,setor,categoria_nome,bmp_medio,bmp_min,bmp_max,bmp_unidade,ts_medio,vs_medio,cn_medio,fc_medio,fcp_medio,fs_medio,fl_medio,disponibilidade_final_media,num_referencias
2,BAGACO,Bagaço de cana,AG_AGRICULTURA,Cana-de-açúcar,0.115,0.08625000000000001,0.14375000000000002,m³ CH₄/kg MS,20.0,,15.0,,,,,,3
5,BAGACO_CITROS,Bagaço de citros,AG_AGRICULTURA,Citros,0.18,0.13,0.22,m³ CH₄/kg MS,21.3,82.0,54.5,0.85,0.15,,,0.15,4
14,CASCA_CAFE,Casca de café,AG_AGRICULTURA,Café,0.12,0.09,0.15,m³ CH₄/kg MS,50.0,,20.0,,0.15,,,,1
17,CASCA_EUCALIPTO,Casca de eucalipto,AG_AGRICULTURA,Eucalipto,0.08,0.06,0.1,m³ CH₄/kg MS,89.0,60.0,80.0,0.25,0.1,,,0.025,1
10,CASCA_MILHO,Casca de milho,AG_AGRICULTURA,Milho,0.175,0.13124999999999998,0.21875,m³ CH₄/kg MS,50.0,,20.0,,,,,,1
12,CASCA_SOJA,Casca de soja,AG_AGRICULTURA,Soja,0.4,0.3,0.5,m³ CH₄/kg MS,89.0,92.0,25.0,0.85,0.18,,,0.153,4
6,CASCAS_CITROS,Cascas de citros,AG_AGRICULTURA,Citros,0.18,0.13,0.22,m³ CH₄/kg MS,21.3,87.5,66.3,0.9,0.08,,,0.08,4
19,FOLHAS_EUCALIPTO,Folhas de eucalipto,AG_AGRICULTURA,Eucalipto,0.2,0.15,0.25,m³ CH₄/kg MS,85.0,80.0,25.0,0.35,0.2,,,0.07,1
18,GALHOS_EUCALIPTO,Galhos e ponteiros,AG_AGRICULTURA,Eucalipto,0.1,0.08,0.12,m³ CH₄/kg MS,88.0,65.0,75.0,0.3,0.15,,,0.045,1
16,MUCILAGEM_CAFE,Mucilagem de café,AG_AGRICULTURA,Café,0.3,0.22,0.38,m³ CH₄/kg MS,12.5,,10.0,,0.1,,,,1
1,PALHA,Palha de cana,AG_AGRICULTURA,Cana-de-açúcar,0.25,0.19,0.31,m³ CH₄/kg MS,90.0,85.0,100.0,0.7,0.3,,,37.5,3
8,PALHA_MILHO,Palha de milho,AG_AGRICULTURA,Milho,0.22,0.17,0.28,m³ CH₄/kg MS,88.0,87.0,43.0,0.35,0.12,,,0.042,5
11,PALHA_SOJA,Palha de soja,AG_AGRICULTURA,Soja,0.23,0.17,0.29,m³ CH₄/kg MS,88.5,87.0,18.0,0.3,0.1,,,0.03,5
15,POLPA_CAFE,Polpa de café,AG_AGRICULTURA,Café,0.2,0.15,0.25,m³ CH₄/kg MS,22.0,88.0,20.0,,0.2,,,,4
7,POLPA_CITROS,Polpa de citros,AG_AGRICULTURA,Citros,0.26,0.2,0.33,m³ CH₄/kg MS,18.0,92.0,40.0,0.85,0.28,,,0.28,4
